,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,96,82,76,33,38,90,72,24,87,4,10,22,69,52,60,28,30,58,89,61
1,31,89,63,61,98,20,7,82,95,79,52,97,87,69,4,66,93,17,12,31
2,77,19,72,63,74,27,13,19,21,28,21,91,51,13,79,28,38,30,93,71
3,54,41,84,78,32,65,6,62,88,96,24,11,5,9,76,96,12,40,18,60
4,34,70,72,31,66,23,89,21,12,9,49,49,27,46,23,43,86,31,93,21
5,58,81,63,77,7,85,97,72,60,2,31,24,82,30,35,89,68,68,29,86
6,46,24,46,84,29,75,91,34,5,10,46,11,6,59,56,46,95,16,84,89
7,87,90,76,71,94,92,27,52,43,1,86,17,58,42,93,32,54,9,97,68
8,34,85,85,54,43,32,68,83,87,51,73,74,99,16,91,70,33,6,26,79
9,56,28,29,12,6,40,79,46,10,95,84,8,98,57,81,93,31,17,91,55
